,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,solanum melongena,solanum melongena,,zea mays,,solanum melongena_hemorrhoids,,,,
1,momordica charantia,momordica charantia,,phaseolus spp,,solanum melongena_melancholy,,,,
2,cucurbita moschata,cucurbita moschata,,ph. vulgaris,,solanum melongena_obstructions in theliver and spleen,,,,
3,cucurbita,cucurbita pepo,,vigna,,solanum melongena_pustules,,,,
4,cucurbita pepo,cucumis sativus,,vicia,,solanum melongena_changes in skin color,,,,
5,cucumis sativus,cucurbita maxima,,cicer,,solanum melongena_leprosie,,,,
6,cucumis,luffa acutangula,,p. persicavar. nectarina,,solanum melongena_cancer,,,,
7,cucurbita maxima,lycopersicon esculentum,,pisum,,solanum melongena_insanity,,,,
8,luffa acutangula,sechium edule,,,,solanum melongena_badbreath,,,,
9,lycopersicon esculentum,sicana odorifera,,,,,,,,
10,sechium edule,cucumis melo,,,,,,,,
11,sicana odorifera,artocarpus altilis,,,,,,,,
12,cucumis melo,a. heterophyllus,,,,,,,,
13,artocarpus altilis,a.odoratissima,,,,,,,,
14,artocarpus heterophyllus,abelmoschus esculentus,,,,,,,,
15,a. heterophyllus,hibiscus e,,,,,,,,
16,a.odoratissima,pastadendron italica,,,,,,,,
17,abelmoschus esculentus,solanum macrocarpum,,,,,,,,
18,hibiscus e,artocarpus heterophyllus,,,,,,,,
19,pastadendron italica,artocarpus odoratissima,,,,,,,,
20,pastadendron,abelomoschus esculentus,,,,,,,,
21,solanum macrocarpum,capsicum spp,,,,,,,,
22,artocarpus odoratissima,malus sylvestris,,,,,,,,
23,abelomoschus esculentus,pyrus communis,,,,,,,,
24,capsicum spp,prunus armeniaca,,,,,,,,
25,malus sylvestris,prunus persica,,,,,,,,
26,pyrus communis,p. persica var. nectarina,,,,,,,,
27,prunus armeniaca,fragaria chiloensis,,,,,,,,
28,prunus,f. virginica,,,,,,,,
29,prunus persica,f. vesca,,,,,,,,
30,fragaria chiloensis,rubus,,,,,,,,
31,f. virginica,,,,,,,,,
32,f. vesca,,,,,,,,,
33,rubus,,,,,,,,,
