,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,ginkgo,ginkgo,cannabis,saccharomyces cerevisae,,,,,,
1,citrus reticulata,citrus reticulata,,candida atilis,,,,,,
2,aloe vera,aloe,,kluyveromyces lactis,,,,,,
3,aloe,,,saccharomyces carlsbergensis,,,,,,
4,,,,hirsutella hepiali chen et shen,,,,,,
5,,,,ganoderma lucidum,,,,,,
6,,,,ganoderma sinensis,,,,,,
7,,,,ganoderma tsugae,,,,,,
8,,,,monacus anka,,,,,,
9,,,,monacus purpures,,,,,,
10,,,,saussurea involucrate,,,,,,
11,,,,"paecilomyces hepiali chen et dai, sp. nov",,,,,,
12,,,,magnolia,,,,,,
