,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,aloe vera,aloe vera,,eucalyptus,,,aloe vera_skin conditions,,,aloe vera_anti-inflammatory
1,viola odorata l,viola odorata l,,,,,aloe vera_burns,,,aloe vera_immune boosting effects
2,momordica charantia l,momordica charantia l,,,,,aloe vera_mouth ulcers,,,aloe vera_wound healing
3,trigonella foenum-graecum l,trigonella foenum-graecum l,,,,,aloe vera_stomach and duodenal ulcers,,,momordica charantia l_improve insulin secretion
4,,,,,,,aloe vera_skin irritation,,,momordica charantia l_hypoglycaemic
5,,,,,,,aloe vera_arthritis,,,momordica charantia l_glucose absorption
6,,,,,,,aloe vera_tooth aches,,,momordica charantia l_increase glucose uptake in liver cells
7,,,,,,,aloe vera_diabetes,,,trigonella foenum-graecum l_anti-diabetic
8,,,,,,,aloe vera_irritable bowel syndrome,,,trigonella foenum-graecum l_improving insulin response in diabetics
9,,,,,,,aloe vera_eczema,,,trigonella foenum-graecum l_reduce bg levels
10,,,,,,,aloe vera_itchy skin,,,
11,,,,,,,momordica charantia l_diabetes,,,
12,,,,,,,viola odorata l_catarrh,,,
13,,,,,,,viola odorata l_colds,,,
14,,,,,,,viola odorata l_coughs,,,
15,,,,,,,viola odorata l_pain,,,
16,,,,,,,viola odorata l_headache,,,
17,,,,,,,viola odorata l_cough,,,
18,,,,,,,viola odorata l_fever,,,
