,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,satureja,satureja pilosa,a. karioti1,,,,satureja_infectious diseases,,,alkanna tinctoria_wound healing
1,satureja pilosa,satureja,g. tsoktouridis2,,,,satureja_muscle pain,,,thymus spp_antimicrobial
2,s. pilosa,s. pilosa,lamiaceae,,,,satureja_gastrointestinal disorders,,,thymus spp_antioxidant
3,a. tinctoria,satureja taxa,cvetanovic a,,,,satureja_cramps,,,thymbra capitata_antibacterial
4,alkanna tinctoria,alkana tinctoria,boraginaceae).k,,,,,,,thymbra capitata_antimicrobial
5,thymus spp,alkanna tinctoria,grigoriadou1,,,,,,,thymbra capitata_antioxidant
6,thymbra capitata,a. tinctoria,sarropoulou1,,,,,,,thymbra spp_antimicrobial
7,thymbra spp,thymus spp,n. krigas1,,,,,,,thymbra spp_antioxidant
8,t. longicaulis subsp. longicaulis,thymbra capitata,aligiannis2,,,,,,,t. longicaulis subsp. longicaulis_antibacterial
9,t. longicaulis subsp. chaubardii,thymbra spp,boraginaceae,,,,,,,t. longicaulis subsp. longicaulis_antioxidant
10,thymus boissieri,t. longicaulis subsp,venusroses,,,,,,,thymus boissieri_antibacterial
11,t. degenii,thymus boissieri,longicaulis,,,,,,,thymus boissieri_antioxidant
12,t. thracicus,t. degenii,chaubardii,,,,,,,t. degenii_antibacterial
13,t. sibthorpii,t. thracicus,enterococcus faecalis,,,,,,,t. degenii_antioxidant
14,t. striatus,t. sibthorpii,bacillus subtilis,,,,,,,t. thracicus_antibacterial
15,t. holosericeus,t. striatus,staphylococcus aureus,,,,,,,t. thracicus_antioxidant
16,t. plasonii,t. holosericeus,pseudomonas aeruginosa,,,,,,,t. sibthorpii_antibacterial
17,centaurea,t. plasonii,salmonella typhimurium,,,,,,,t. sibthorpii_antioxidant
18,centaurea phyllocephala boiss,centaurea phyllocephala boiss,escherichia coli,,,,,,,t. striatus_antibacterial
19,centaurea cyanoides,centaurea,klebsiella pneumoniae,,,,,,,t. striatus_antioxidant
20,centaurea cyanus,centaurea cyanoides,m. dimitriadis1,,,,,,,centaurea_anti-inflammatory
21,centaurea sp,centaurea cyanus,c. tsioumela1,,,,,,,centaurea_anti-dandruff
22,c. cyanus,centaurea sp,o. tsiftsoglou1,,,,,,,centaurea_antioxidant
23,,c. cyanus,m. arfan2,,,,,,,centaurea_antidiabetic
24,,,h. skaltsa3,,,,,,,centaurea_antirheumatic
25,,,asteraceae,,,,,,,centaurea_antibacterial
26,,,cornflower,,,,,,,
27,,,syrian cornflower,,,,,,,
