,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,berberis,berberis actinacantha,,berberis vulgaris,berberis actinacantha_fever,berberis aquifolium_gall bladder disease,berberis_hemorrhoids,berberis actinacantha_antipyretic,berberis asiatica_treatment of enlarged spleen,berberis_antimicrobial
1,berberis actinacantha mart,berberis aquifolium,,b. chitria,berberis aquifolium_diarrhea,berberis aquifolium_stomach problems,berberis_infectious diseases,berberis aquifolium_improvement of blood flow to the liver,berberis asiatica_treatment of hemorrhages,berberis vulgaris_blood purifying
2,berberis aquifolium pursh,berberis aristata,,b. lycium,berberis aquifolium_fungal infections,berberis aristata_pyrexia,berberis_influenza,berberis aquifolium_stimulate intestinal secretions and bile flow,berberis asiatica_treatment of diabetes,berberis aristata_antiprotozoal
3,b. aquifolium,berberis asiatica,,m. aquifolium,berberis aquifolium_eczema,berberis aristata_osteoporosis,berberis_indigestion,berberis aquifolium_anti-inflammatory,berberis asiatica_treatment of enlarged liver,berberis aristata_antimicrobial
4,berberis aristata,annickia chlorantha,,coptischinensis,berberis aquifolium_constipation,berberis aristata_pain,berberis_wounds,berberis aristata_analgesic,berberis asiatica_treatment of constipation,b. chitria_antiprotozoal
5,berberis aristata dc,annickia pilosa,,enantiachlorantha oliv,berberis aquifolium_hepatitis,berberis aristata_scurvy,berberis_obesity,berberis aristata_anti-hepatopathic,berberis asiatica_elimination of inflammation and swelling,b. chitria_antimicrobial
6,berberis asiatica,annickia polycarpa,,enantia pilosa exell,berberis aquifolium_dysentery,berberis aristata_hepatopathy,berberis_mountain sickness,berberis aristata_anti-fungal,berberis asiatica_treatment of ulcers,b. lycium_antiprotozoal
7,berberis asiatica roxb. ex dc,rollinia mucosa,,enantia polycarpa (dc.)engl. & diels,berberis aquifolium_sore womb following childbirth and/or menstruation,berberis asiatica_enlarged liver,berberis_protozoa,berberis aristata_anti-scorbutic,berberis asiatica_treatment of jaundice,m. aquifolium_antimicrobial
8,annickia chlorantha (oliv. )setten & maas,xylopia polycarpa,,mahonia,berberis aquifolium_acne,berberis asiatica_enlarged spleen,berberis_common cold,berberis aristata_anti-inflammatory,berberis asiatica_treatment of skin diseases,coptischinensis_elimination of toxins
9,annickia,,,coelocline,berberis aquifolium_cirrhosis,berberis asiatica_urinary disorders,berberis_fungi,berberis aristata_anti-diabetic,berberis asiatica_treatment of conjunctivitis,annickia chlorantha (oliv. )setten & maas_promote conception
10,annickia pilosa (exell) setten &maas,,,caulophyllum,berberis aquifolium_cancer,berberis asiatica_painful micturition,berberis_respiratory infections,berberis aristata_laxative,berberis asiatica_anti-inflammatory,enantiachlorantha oliv_antipyretic
