,NER_tp_in_ground,NER_tp_in_model,NER_fp,NER_fn,MedCond_tp,MedCond_fp,MedCond_fn,MedEff_tp,MedEff_fp,MedEff_fn
0,j. communis,juniperus communis l,origanum vulgare l,salvia l,,,,,,salvia l_antimicrobial
1,juniperus communis l,j. communis subsp. alpina,th. tosevii velen,p. peu-ce,,,,,,stachys sylvatica l_antioxidant
2,j. communis subsp. alpina (suter) celak,j. oxycedrus l,rosmarinus officinalis,t.s longicaulis,,,,,,p. mugo_antioxidant
3,j. oxycedrus l,abies alba mill,,rosmarinus offici-nalis,,,,,,p. mugo_antimi-crobial
4,j. oxycedrus,a. borisii-regis mattf,,ab-ies alba mill,,,,,,p. peu-ce_antioxidant
5,juniperus oxycedrus l,pinus mugo turra,,micro-meria albanica (griceb. ex k. mal) silic,,,,,,p. heldreichii_antioxidant
6,a. alba,p. peuce griseb,,origanum vul-gare l,,,,,,p. heldreichii_antimi-crobial
7,a. borisii-regis mattf,p. heldreichii h. christ,,th. to-sevii velen,,,,,,p. sylvestris_antioxidant
8,p. mugo,p. sylvestris l,,hyper-icum perforatum l,,,,,,p. sylvestris_antimi-crobial
9,pinus mugo turra,p. nigra j. f. arnold,,a.millefolium l,,,,,,p. nigra_antioxidant
10,pinus mugo,picea abies,,til-ia cordata mill,,,,,,p. nigra_antimi-crobial
11,p. peuce,betonica officinalis l,,h. perfora-tum,,,,,,j. communis_antimi-crobial
12,p. peuce griseb,hyssopus officinalis l,,,,,,,,p. peuce_antimi-crobial
13,p. heldreichii,micromeria albanica,,,,,,,,t.s longicaulis_antimi-crobial
14,p. heldreichii h. christ,satureja montana l,,,,,,,,m. albanica_antimi-crobial
15,p. sylvestris,stachys sylvatica l,,,,,,,,p. terebinthus_antimi-crobial
16,p. sylvestris l,thymus jankae celak,,,,,,,,salvia officinalis_antioxidant
17,p. nigra,th. pulegioides l. subsp. montanus,,,,,,,,salvia officinalis_antimicrobial
18,p. nigra j. f. arnold,th. longicaulis presl,,,,,,,,rosmarinus offici-nalis_antioxidant
19,picea abies (l.) h. krasr,hypericum perforatum l,,,,,,,,rosmarinus offici-nalis_antimicrobial
20,betonica officinalis l,pistacia terebinthus l,,,,,,,,
21,b. officinalis,achillea alexandri-regis bornm,,,,,,,,
22,betonica officinalis,a. chrysocoma friv,,,,,,,,
23,hyssopus officinalis l,a. holosericea sm,,,,,,,,
24,m. albanica,a. lingulata waldst,,,,,,,,
25,satureja montana l,artemisia absinthium l,,,,,,,,
26,s. montana,a. vulgaris l,,,,,,,,
27,stachys sylvatica l,a. alba turra,,,,,,,,
28,s. sylvatica,tanacetum larcatum,,,,,,,,
29,thymus jankae celak,betula pendula roth,,,,,,,,
30,th. pulegioides l. subsp. montanus,tilia cordata mill,,,,,,,,
31,th. longicaulis presl,salvia officinalis,,,,,,,,
32,hypericum perforatum l,,,,,,,,,
33,p. terebinthus,,,,,,,,,
34,pistacia terebinthus l,,,,,,,,,
35,achillea alexandri-regis bornm. & rud-sky,,,,,,,,,
36,a. alexandri-regis,,,,,,,,,
37,a. chrysocoma friv,,,,,,,,,
38,a. holosericea sm,,,,,,,,,
39,a. lingulata waldst. & kit,,,,,,,,,
40,artemisia absinthium l,,,,,,,,,
41,a. vulgaris l,,,,,,,,,
42,a. alba turra,,,,,,,,,
43,tanacetum larcatum (gris.) kanitz,,,,,,,,,
44,betula pendula roth,,,,,,,,,
45,t. cordata,,,,,,,,,
46,salvia officinalis,,,,,,,,,
47,salvia,,,,,,,,,
